Most common words,Absolute frequency,Relative frequency
said,2273.0,0.01060558694668278
lord,1951.0,0.009103167678388958
one,1493.0,0.0069661862346666915
ser,1469.0,0.0068542046742969655
could,1319.0,0.006154319921986179
man,1096.0,0.005113824590217478
king,1032.0,0.004815207095898209
well,999.0,0.004661232450389836
back,988.0,0.004609907568553712
jon,873.0,0.004073329258448775
like,792.0,0.0036953914922009507
men,765.0,0.0035694122367850092
father,703.0,0.003280126539163218
know,695.0,0.003242799352373309
even,684.0,0.003191474470537185
never,677.0,0.003158813182096015
old,670.0,0.0031261518936548448
tyrion,667.0,0.003112154198608629
hand,666.0,0.0031074883002598906
see,654.0,0.0030514975200750276
made,647.0,0.0030188362316338575
lady,638.0,0.0029768431464952103
thought,637.0,0.002972177248146472
black,595.0,0.0027762095174994517
jaime,589.0,0.0027482141274070204
might,574.0,0.0026782256521759415
told,571.0,0.002664227957129726
time,558.0,0.0026035712785961243
long,551.0,0.0025709099901549547
head,546.0,0.0025475804984112617
come,543.0,0.002533582803365046
eyes,532.0,0.0024822579215289216
good,523.0,0.0024402648363902745
still,522.0,0.0024355989380415357
sansa,518.0,0.0024169353446465815
arya,507.0,0.0023656104628104573
us,506.0,0.0023609445644617185
though,502.0,0.0023422809710667643
red,493.0,0.002300287885928117
face,484.0,0.00225829480078947
took,484.0,0.00225829480078947
two,478.0,0.0022302994106970387
say,474.0,0.002211635817302084
little,470.0,0.00219297222390713
way,461.0,0.0021509791387684827
boy,446.0,0.0020809906635374043
three,437.0,0.002038997578398757
son,434.0,0.0020249998833525413
saw,432.0,0.002015668086655064
wall,431.0,0.0020110021883063254
go,430.0,0.002006336289957587
came,430.0,0.002006336289957587
night,427.0,0.001992338594911371
brother,427.0,0.001992338594911371
must,420.0,0.001959677306470201
away,413.0,0.0019270160180290313
sword,407.0,0.0018990206279365998
dead,404.0,0.001885022932890384
half,400.0,0.0018663593394954298
tell,396.0,0.0018476957461004753
much,395.0,0.0018430298477517368
look,395.0,0.0018430298477517368
sam,393.0,0.0018336980510542597
enough,391.0,0.0018243662543567826
take,385.0,0.001796370864264351
gave,385.0,0.001796370864264351
robb,380.0,0.0017730413725206584
want,379.0,0.0017683754741719196
looked,376.0,0.001754377779125704
turned,371.0,0.001731048287382011
make,370.0,0.0017263823890332724
heard,369.0,0.001721716490684534
knew,368.0,0.0017170505923357953
asked,358.0,0.0016703916088484096
white,358.0,0.0016703916088484096
think,350.0,0.001633064422058501
first,347.0,0.0016190667270122854
day,346.0,0.0016144008286635466
snow,346.0,0.0016144008286635466
left,346.0,0.0016144008286635466
blood,346.0,0.0016144008286635466
castle,345.0,0.001609734930314808
around,343.0,0.001600403133617331
went,342.0,0.0015957372352685924
every,341.0,0.0015910713369198539
great,340.0,0.0015864054385711153
dany,335.0,0.0015630759468274224
let,327.0,0.0015257487600375138
woman,319.0,0.0014884215732476052
catelyn,315.0,0.001469757979852651
fire,314.0,0.0014650920815039124
another,314.0,0.0014650920815039124
mother,309.0,0.0014417625897602195
horse,305.0,0.0014230989963652653
found,305.0,0.0014230989963652653
gold,305.0,0.0014230989963652653
need,301.0,0.0014044354029703109
davos,300.0,0.0013997695046215723
behind,300.0,0.0013997695046215723
done,298.0,0.0013904377079240952
beneath,293.0,0.0013671082161804023
keep,291.0,0.0013577764194829252
girl,289.0,0.001348444622785448
bran,286.0,0.0013344469277392322
knight,286.0,0.0013344469277392322
called,283.0,0.0013204492326930166
joffrey,283.0,0.0013204492326930166
queen,282.0,0.001315783334344278
many,279.0,0.0013017856392980622
get,278.0,0.0012971197409493236
hands,278.0,0.0012971197409493236
feet,276.0,0.0012877879442518465
grace,275.0,0.001283122045903108
maester,267.0,0.0012457948591131994
hear,267.0,0.0012457948591131994
yet,266.0,0.0012411289607644608
find,263.0,0.0012271312657182452
hair,260.0,0.0012131335706720293
ever,260.0,0.0012131335706720293
nothing,260.0,0.0012131335706720293
seemed,257.0,0.0011991358756258137
across,255.0,0.0011898040789283366
last,253.0,0.0011804722822308592
wine,253.0,0.0011804722822308592
bloody,251.0,0.0011711404855333821
hard,250.0,0.0011664745871846436
stood,249.0,0.001161808688835905
give,248.0,0.0011571427904871665
stark,247.0,0.001152476892138428
hundred,245.0,0.0011431450954409506
brothers,244.0,0.001138479197092212
put,243.0,0.0011338132987434735
wanted,241.0,0.0011244815020459964
better,239.0,0.0011151497053485194
cersei,239.0,0.0011151497053485194
water,238.0,0.0011104838069997808
mouth,238.0,0.0011104838069997808
cold,237.0,0.001105817908651042
cloak,237.0,0.001105817908651042
stone,237.0,0.001105817908651042
yes,236.0,0.0011011520103023035
gods,236.0,0.0011011520103023035
prince,236.0,0.0011011520103023035
bear,235.0,0.001096486111953565
gone,234.0,0.0010918202136048264
stannis,234.0,0.0010918202136048264
big,233.0,0.0010871543152560878
watch,232.0,0.0010824884169073493
right,231.0,0.0010778225185586107
almost,230.0,0.0010731566202098722
seen,230.0,0.0010731566202098722
name,229.0,0.0010684907218611334
lannister,227.0,0.0010591589251636563
