Most common words,GOT1 relative frequency,GOT2 relative frequency,Relative frequency difference
theon,0.002552867902665122,0.00020529952734449727,0.0023475683753206244
jaime,0.0006819718037852453,0.0027482141274070204,0.002066242323621775
said,0.00878114136732329,0.01060558694668278,0.0018244455793594884
renly,0.0017803688682889146,0.0003826036645965631,0.0013977652036923514
sam,0.0004888470451911935,0.0018336980510542597,0.0013448510058630663
bran,0.002619254538431827,0.0013344469277392322,0.0012848076106925948
stannis,0.0023416376979528775,0.0010918202136048264,0.001249817484348051
jon,0.0029391174198532253,0.004073329258448775,0.0011342118385955498
tyrion,0.004230639242950946,0.003112154198608629,0.0011184850443423174
snow,0.0005009173426033217,0.0016144008286635466,0.0011134834860602248
men,0.00454446697566628,0.0035694122367850092,0.0009750547388812708
wall,0.0012070297412128234,0.0020110021883063254,0.000803972447093502
mance,0.00015691386635766706,0.0009051842796552835,0.0007482704132976164
maester,0.0019915990730011587,0.0012457948591131994,0.0007458042138879593
gods,0.0018286500579374277,0.0011011520103023035,0.0007274980476351242
well,0.00400130359212051,0.004661232450389836,0.000659928858269326
yet,0.0018950366937041329,0.0012411289607644608,0.0006539077329396721
brother,0.0026313248358439552,0.001992338594911371,0.000638986240932584
great,0.002196794129007339,0.0015864054385711153,0.0006103886904362235
walls,0.001394119351100811,0.0007838709225880805,0.0006102484285127306
stark,0.0017320876786404017,0.001152476892138428,0.0005796107865019737
wedding,0.00012070297412128235,0.0006998847523107862,0.0005791817781895038
lem,0.0,0.0005739054968948447,0.0005739054968948447
bloody,0.0005974797219003476,0.0011711404855333821,0.0005736607636330346
back,0.004049584781769023,0.004609907568553712,0.0005603227867846889
though,0.0017924391657010428,0.0023422809710667643,0.0005498418053657215
varys,0.0009475183468520664,0.0004012672579915174,0.0005462510888605491
sea,0.0011104673619157976,0.0005739054968948447,0.0005365618650209529
sansa,0.0018829663962920047,0.0024169353446465815,0.0005339689483545768
could,0.005624758594051757,0.006154319921986179,0.0005295613279344222
wench,9.656237929702588e-05,0.0006112326836847532,0.0005146703043877273
hot,0.0012673812282734647,0.0007652073291931262,0.0005021738990803386
dany,0.0010621861722672848,0.0015630759468274224,0.0005008897745601376
oberyn,6.035148706064117e-06,0.0004899193266175503,0.0004838841779114862
know,0.0027640981073773657,0.003242799352373309,0.00047870124499594345
end,0.0013820490536886828,0.0009051842796552835,0.00047686477403339935
ygritte,0.00015087871765160293,0.000625230378730969,0.000474351661079366
lords,0.000977694090382387,0.000503917021663766,0.00047377706871862095
might,0.002214899575125531,0.0026782256521759415,0.00046332607705041034
big,0.0006276554654306683,0.0010871543152560878,0.0004594988498254196
beric,9.052723059096177e-05,0.0005459101068024132,0.00045538287621145143
city,0.0011406431054461182,0.0006858870572645704,0.0004547560481815478
must,0.0024080243337195827,0.001959677306470201,0.00044834702724938155
tyrell,0.00030175743530320585,0.0007418778374494333,0.00044012040214622746
unsullied,0.0,0.00043392854643268744,0.00043392854643268744
tom,3.6210892236384704e-05,0.00046658983487385744,0.0004303789426374727
green,0.0012553109308613365,0.0008305299060754663,0.00042478102478587024
grenn,0.00010863267670915411,0.0005272465134074589,0.0004186138366983048
wildlings,0.0002776168404789494,0.0006952188539620476,0.0004176020134830982
water,0.0015208574739281576,0.0011104838069997808,0.0004103736669283768
wife,0.0005371282348397065,0.0009471773647939306,0.00041004912995422414
joffrey,0.0017200173812282735,0.0013204492326930166,0.0003995681485352569
margaery,0.00012070297412128235,0.0005132488183612431,0.0003925458442399608
arya,0.0027580629586713016,0.0023656104628104573,0.0003924524958608443
good,0.002057985708767864,0.0024402648363902745,0.0003822791276224106
winterfell,0.0013820490536886828,0.0010031681449787935,0.0003788809087098893
thoros,2.414059482425647e-05,0.0004012672579915174,0.0003771266631672609
wood,0.0008147450753186559,0.000438594444781426,0.0003761506305372299
way,0.0025226921591348012,0.0021509791387684827,0.0003717130203663185
took,0.0018890015449980688,0.00225829480078947,0.0003692932557914012
clegane,0.00029572228659714174,0.0006625575655208776,0.0003668352789237358
ice,0.00023537079953650058,0.0006019008869872761,0.0003665300874507755
tormund,0.0,0.0003639400712016088,0.0003639400712016088
seven,0.0005371282348397065,0.0008958524829578063,0.0003587242481180998
man,0.00546784472769409,0.005113824590217478,0.0003540201374766126
lysa,0.0002112302047122441,0.0005645737001973675,0.0003533434954851234
hound,0.00044056585554268056,0.0007932027192855577,0.0003526368637428771
gilly,3.0175743530320587e-05,0.0003826036645965631,0.0003524279210662425
turned,0.0013820490536886828,0.001731048287382011,0.00034899923369332815
help,0.0009414831981460023,0.0005925690902897989,0.00034891410785620343
going,0.0005612688296639629,0.000909850178004022,0.0003485813483400591
petyr,0.0002414059482425647,0.0005879031919410603,0.00034649724369849565
lady,0.0026313248358439552,0.0029768431464952103,0.0003455183106512551
almost,0.0007302529934337582,0.0010731566202098722,0.00034290362677611395
sword,0.0015570683661645423,0.0018990206279365998,0.00034195226177205756
see,0.003391753572808034,0.0030514975200750276,0.0003402560527330065
qhorin,0.0005431633835457706,0.00020529952734449727,0.00033786385620127333
father,0.0029451525685592894,0.003280126539163218,0.0003349739706039285
astapor,1.2070297412128235e-05,0.0003452764778066545,0.00033320618039452626
robb,0.0014424005407493242,0.0017730413725206584,0.0003306408317713342
storm,0.0008147450753186559,0.00048525342826881174,0.00032949164704984416
bear,0.000772499034376207,0.001096486111953565,0.0003239870775773579
lannister,0.0013820490536886828,0.0010591589251636563,0.0003228901285250265
house,0.001134607956740054,0.000811866312680512,0.0003227416440595421
catelyn,0.0017924391657010428,0.001469757979852651,0.0003226811858483918
head,0.0022269698725376594,0.0025475804984112617,0.00032061062587360233
queen,0.001635525299343376,0.001315783334344278,0.0003197419649990979
looked,0.00143636539204326,0.001754377779125704,0.0003180123870824439
huge,0.0002655465430668212,0.0005832372935923218,0.0003176907505255006
ships,0.0005612688296639629,0.0002472926124831444,0.0003139762171808185
mother,0.00112857280803399,0.0014417625897602195,0.0003131897817262295
still,0.0021243723445345695,0.0024355989380415357,0.0003112265935069662
three,0.0017320876786404017,0.002038997578398757,0.00030690989975835545
magnar,0.0,0.0003032833926680073,0.0003032833926680073
across,0.001490681730397837,0.0011898040789283366,0.0003008776514695005
maybe,0.00036210892236384707,0.0006625575655208776,0.0003004486431570305
much,0.001544998068752414,0.0018430298477517368,0.00029803177899932276
get,0.0010018346852066434,0.0012971197409493236,0.00029528505574268017
woman,0.0011949594438006952,0.0014884215732476052,0.00029346212944691
cold,0.0008147450753186559,0.001105817908651042,0.00029107283333238614
noye,3.6210892236384704e-05,0.00032661288441170023,0.0002904019921753155
tywin,0.00071818269602163,0.001007834043327532,0.00028965134730590206
black,0.0030658555426805716,0.0027762095174994517,0.00028964602518111995
summer,0.0006940421011973735,0.000405933156340256,0.0002881089448571175
kevan,5.4316338354577056e-05,0.00034061057945791593,0.0002862942411033389
merrett,3.6210892236384704e-05,0.0003219469860629616,0.0002857360938265769
aunt,0.0,0.000284619799273053,0.000284619799273053
husband,0.00014484356894553882,0.00042926264808394884,0.00028441907913841
gregor,0.0001750193124758594,0.00045259213982764174,0.00027757282735178237
